Historical Data;;;;;;;;
From 2023-06-12 to 2025-06-09;;;;;;;;
FR0003500008;;;;;;;;
Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover
15/01/2025;7447.39;7514.91;7415.52;7474.59;7474.59;'0;'0;'4382236287
14/01/2025;7481.95;7499.77;7423.49;7423.67;7423.67;'0;'0;'3485910251
13/01/2025;7409.56;7424.51;7353.05;7408.64;7408.64;'0;'0;'2795280068
10/01/2025;7495.21;7521.22;7417.59;7431.04;7431.04;'0;'0;'3285496659
'09/01/2025;7421.20;7504.11;7413.15;7490.28;7490.28;'0;'0;'2500231780
'08/01/2025;7489.20;7496.51;7396.68;7452.42;7452.42;'0;'0;'3230944860
'07/01/2025;7451.34;7516.95;7417.42;7489.35;7489.35;'0;'0;'3621209268
'06/01/2025;7313.36;7454.87;7304.47;7445.69;7445.69;'0;'0;'3842724296
'03/01/2025;7387.97;7387.97;7270.57;7282.22;7282.22;'0;'0;'2992772685
'02/01/2025;7374.59;7399.25;7285.30;7393.76;7393.76;'0;'0;'2653848504
31/12/2024;7289.79;7381.26;7287.14;7380.74;7380.74;'0;'0;'1005634996
30/12/2024;7325.50;7372.65;7299.39;7313.56;7313.56;'0;'0;'1975274140
27/12/2024;7289.54;7355.37;7278.42;7355.37;7355.37;'0;'0;'2216981156
24/12/2024;7296.69;7316.59;7282.69;7282.69;7282.69;'0;'0;'736220484
23/12/2024;7259.37;7291.69;7233.19;7272.32;7272.32;'0;'0;'2142081358
20/12/2024;7244.15;7289.33;7194.49;7274.48;7274.48;'0;'0;'7122267027
19/12/2024;7289.11;7326.81;7261.28;7294.37;7294.37;'0;'0;'3704830669
18/12/2024;7379.33;7397.35;7360.06;7384.62;7384.62;'0;'0;'3507275846
17/12/2024;7321.94;7381.14;7316.48;7365.70;7365.70;'0;'0;'3734988877
16/12/2024;7382.24;7394.34;7339.31;7357.08;7357.08;'0;'0;'3630901217
13/12/2024;7408.16;7460.61;7388.60;7409.57;7409.57;'0;'0;'3441911052
12/12/2024;7454.71;7455.20;7410.73;7420.94;7420.94;'0;'0;'3237032484
11/12/2024;7372.24;7437.58;7367.11;7423.40;7423.40;'0;'0;'3142557921
10/12/2024;7458.29;7460.23;7384.88;7394.78;7394.78;'0;'0;'3531493040
'09/12/2024;7484.50;7511.02;7444.81;7480.14;7480.14;'0;'0;'3884754177
'06/12/2024;7334.27;7444.72;7334.14;7426.88;7426.88;'0;'0;'3898359196
'05/12/2024;7282.72;7351.00;7282.72;7330.54;7330.54;'0;'0;'3915880347
'04/12/2024;7261.72;7322.86;7257.43;7303.28;7303.28;'0;'0;'3415706166
'03/12/2024;7244.74;7319.87;7228.92;7255.42;7255.42;'0;'0;'3587374143
'02/12/2024;7147.37;7275.97;7146.02;7236.89;7236.89;'0;'0;'4397354385
